epoch,train_loss,train_acc,val_acc,elapsed,model_file
1,7.9042,0.01,0.06,488.2,mvit_acc_0.01_20251019_024439.pth
2,7.9157,0.04,0.00,492.1,mvit_acc_0.01_20251019_024439.pth
3,7.9345,0.01,0.00,491.4,mvit_acc_0.01_20251019_024439.pth
4,7.9800,0.00,0.00,480.6,mvit_acc_0.01_20251019_024439.pth
5,7.9441,0.01,0.00,480.4,mvit_acc_0.01_20251019_024439.pth
6,7.8464,0.06,0.00,480.5,mvit_acc_0.06_20251019_032505.pth
7,7.7896,0.05,0.00,496.0,mvit_acc_0.06_20251019_032505.pth
8,7.7117,0.13,0.00,504.0,mvit_acc_0.13_20251019_034145.pth
9,7.6773,0.08,0.00,498.6,mvit_acc_0.13_20251019_034145.pth
10,7.6298,0.04,0.10,494.7,mvit_acc_0.13_20251019_034145.pth
11,7.5965,0.14,0.00,498.2,mvit_acc_0.14_20251019_040846.pth
12,7.5915,0.08,0.00,496.5,mvit_acc_0.14_20251019_040846.pth
13,7.5614,0.06,0.00,494.5,mvit_acc_0.14_20251019_040846.pth
14,7.5384,0.01,0.00,492.6,mvit_acc_0.14_20251019_040846.pth
15,7.5203,0.10,0.00,482.3,mvit_acc_0.14_20251019_040846.pth
16,7.4904,0.08,0.00,480.9,mvit_acc_0.14_20251019_040846.pth
17,7.4599,0.08,0.00,481.0,mvit_acc_0.14_20251019_040846.pth
18,7.4330,0.08,0.00,481.4,mvit_acc_0.14_20251019_040846.pth
19,7.4029,0.15,0.00,481.9,mvit_acc_0.15_20251019_051337.pth
20,7.3919,0.21,0.10,482.2,mvit_acc_0.21_20251019_052344.pth
21,7.4234,0.09,0.00,579.9,mvit_acc_0.21_20251019_052344.pth
22,7.3502,0.10,0.00,579.1,mvit_acc_0.21_20251019_052344.pth
23,7.3105,0.26,0.00,580.0,mvit_acc_0.26_20251019_055243.pth
24,7.2804,0.25,0.00,579.4,mvit_acc_0.26_20251019_055243.pth
25,7.2439,0.25,0.00,579.9,mvit_acc_0.26_20251019_055243.pth
26,7.2180,0.30,0.00,578.0,mvit_acc_0.30_20251019_062141.pth
27,7.1799,0.31,0.00,580.1,mvit_acc_0.31_20251019_063122.pth
28,7.1460,0.36,0.00,579.3,mvit_acc_0.36_20251019_064101.pth
29,7.1211,0.45,0.00,577.4,mvit_acc_0.45_20251019_065039.pth
30,7.0791,0.49,0.16,579.3,mvit_acc_0.49_20251019_070223.pth
31,7.0190,0.80,0.00,586.9,mvit_acc_0.80_20251019_071211.pth
32,6.9773,0.86,0.00,589.2,mvit_acc_0.86_20251019_072200.pth
33,6.9120,1.19,0.00,593.9,mvit_acc_1.19_20251019_073154.pth
