epoch,train_loss,train_acc,val_acc,elapsed,model_file
1,7.8925,0.03,0.06,488.8,mvit_acc_0.03_20251019_085657.pth
2,7.8906,0.1,0,482.1,mvit_acc_0.10_20251019_090459.pth
3,7.9508,0.04,0,482.4,mvit_acc_0.10_20251019_090459.pth
4,8.0127,0.06,0,482.5,mvit_acc_0.10_20251019_090459.pth
5,7.9675,0.05,0,481.7,mvit_acc_0.10_20251019_090459.pth
6,7.8809,0.05,0,482.1,mvit_acc_0.05_20251019_093709.pth
7,7.7771,0.04,0,481.8,mvit_acc_0.04_20251019_094511.pth
8,7.7123,0.09,0,481.3,mvit_acc_0.09_20251019_095312.pth
9,7.6495,0.04,0,481.4,mvit_acc_0.04_20251019_100114.pth
10,7.5949,0.03,0.12,481.2,mvit_acc_0.03_20251019_101121.pth
11,7.554,0.04,0,482.3,mvit_acc_0.04_20251019_101923.pth
12,7.5306,0.1,0,481.6,mvit_acc_0.10_20251019_102726.pth
13,7.4797,0.08,0,483,mvit_acc_0.08_20251019_103529.pth
14,7.4584,0.11,0,483,mvit_acc_0.11_20251019_104332.pth
15,7.419,0.1,0,482.9,mvit_acc_0.10_20251019_105135.pth
16,7.3838,0.21,0,484.2,mvit_acc_0.21_20251019_105940.pth
17,7.3435,0.15,0,484.4,mvit_acc_0.15_20251019_110745.pth
18,7.3008,0.25,0,481.7,mvit_acc_0.25_20251019_111547.pth
19,7.2536,0.38,0,482.6,mvit_acc_0.38_20251019_112350.pth
20,7.2177,0.39,0.1,481.3,mvit_acc_0.39_20251019_113356.pth
21,7.2888,0.23,0,582.7,mvit_acc_0.39_20251019_113356.pth
22,7.1917,0.41,0,583.9,mvit_acc_0.41_20251019_115322.pth
23,7.1343,0.48,0,580.8,mvit_acc_0.48_20251019_120304.pth
24,7.062,0.44,0,579.8,mvit_acc_0.44_20251019_121244.pth
25,7.0006,0.63,0,584.2,mvit_acc_0.63_20251019_122228.pth
26,6.9568,0.56,0,588.7,mvit_acc_0.56_20251019_123217.pth
27,6.8728,0.96,0,589.4,mvit_acc_0.96_20251019_124207.pth
28,6.7965,1.36,0,588.5,mvit_acc_1.36_20251019_125156.pth
29,6.7123,1.45,0,580.8,mvit_acc_1.45_20251019_130137.pth
30,6.6097,2.28,0.66,580.9,mvit_acc_2.28_20251019_131323.pth
31,6.4852,3.71,0,580.9,mvit_acc_3.71_20251019_132304.pth
32,6.373,4.78,0,580.2,mvit_acc_4.78_20251019_133245.pth
33,6.2442,6.18,0,582.1,mvit_acc_6.18_20251019_134227.pth
34,6.1019,7.59,0,580.9,mvit_acc_7.59_20251019_135208.pth
35,6.0036,8.71,0,581.6,mvit_acc_8.71_20251019_140150.pth
36,5.8894,10.14,0,581.2,mvit_acc_10.14_20251019_141132.pth
