epoch,model,train_acc,val_acc,loss,epoch_time_sec,checkpoint
1,resnet,97.8973036462057,99.9083409715857,0.10974154443899174,93.82,resnet_99.91_20251012_215302.pth
2,resnet,99.71019303441936,100.0,0.014964787532984351,89.59,resnet_100.00_20251012_215431.pth
3,resnet,99.76636707180063,99.94271310724106,0.012289640528326637,89.64,resnet_100.00_20251012_215431.pth
4,resnet,99.79445409049127,99.98854262144822,0.01073785500738787,90.38,resnet_100.00_20251012_215431.pth
5,resnet,99.80083750383005,100.0,0.009638279975474702,90.09,resnet_100.00_20251012_215431.pth
6,resnet,99.78679399448473,99.97708524289642,0.010302174871359815,90.46,resnet_100.00_20251012_215431.pth
7,resnet,99.82381779184966,99.83959670027498,0.008523140443989252,89.56,resnet_100.00_20251012_215431.pth
8,resnet,99.86467163721785,99.9083409715857,0.007087119893497744,89.47,resnet_100.00_20251012_215431.pth
9,resnet,99.8748850985599,99.94271310724106,0.006200044446655147,89.39,resnet_100.00_20251012_215431.pth
10,resnet,99.84169134919824,99.97708524289642,0.007636569880487075,89.72,resnet_100.00_20251012_215431.pth
11,resnet,99.88892860790521,99.97708524289642,0.005177649841057632,89.6,resnet_100.00_20251012_215431.pth
12,resnet,99.89403533857624,99.91979835013748,0.00536012079290479,90.67,resnet_100.00_20251012_215431.pth
13,resnet,99.8659483198856,100.0,0.006058873411296663,89.51,resnet_100.00_20251012_215431.pth
14,resnet,99.89914206924726,100.0,0.004621342568324887,89.08,resnet_100.00_20251012_215431.pth
15,resnet,99.90169543458278,99.96562786434464,0.004432666165077662,89.66,resnet_100.00_20251012_215431.pth
16,resnet,99.8633949545501,99.96562786434464,0.006278967499813996,90.13,resnet_100.00_20251012_215431.pth
17,resnet,99.92467572260239,99.88542621448212,0.003226521188508228,90.33,resnet_100.00_20251012_215431.pth
18,resnet,99.8659483198856,99.95417048579284,0.005919207299633043,89.52,resnet_100.00_20251012_215431.pth
19,resnet,99.9361658666122,99.94271310724106,0.0034147970985907543,89.66,resnet_100.00_20251012_215431.pth
20,resnet,99.90807884792156,99.98854262144822,0.004285640982190293,89.66,resnet_100.00_20251012_215431.pth
21,resnet,99.89148197324073,99.95417048579284,0.004893292847865015,89.65,resnet_100.00_20251012_215431.pth
22,resnet,99.90552548258604,99.96562786434464,0.004218514554334015,89.54,resnet_100.00_20251012_215431.pth
23,resnet,99.91063221325707,100.0,0.0036310777678801903,89.67,resnet_100.00_20251012_215431.pth
24,resnet,99.91063221325707,99.98854262144822,0.003835505735135786,89.72,resnet_100.00_20251012_215431.pth
25,resnet,99.92978245327342,99.98854262144822,0.00321811917029076,90.66,resnet_100.00_20251012_215431.pth
26,resnet,99.90680216525381,99.94271310724106,0.003914147940324757,89.65,resnet_100.00_20251012_215431.pth
27,resnet,99.90552548258604,99.98854262144822,0.004009281511160506,89.67,resnet_100.00_20251012_215431.pth
28,resnet,99.89914206924726,99.94271310724106,0.0037880350630768336,89.59,resnet_100.00_20251012_215431.pth
29,resnet,99.92339903993464,99.98854262144822,0.0030667884480481584,89.69,resnet_100.00_20251012_215431.pth
30,resnet,99.9182923092636,99.88542621448212,0.0035388236867355226,90.23,resnet_100.00_20251012_215431.pth
31,resnet,99.91701562659586,99.91979835013748,0.0035534479817043063,89.64,resnet_100.00_20251012_215431.pth
